Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Burnout Level
Female,Service,No,2,3.0,3.8,0.16,Low
Male,Service,Yes,1,2.0,5.0,0.36,Low
Female,Product,Yes,2,4.481398287238523,5.8,0.49,Medium
Male,Service,Yes,1,1.0,2.6,0.2,Low
Female,Service,No,3,7.0,6.9,0.52,Medium
Male,Product,Yes,2,4.0,3.6,0.29,Low
Female,Service,No,3,6.0,7.9,0.62,Medium
Female,Service,Yes,2,4.0,4.4,0.33,Low
Female,Service,No,3,6.0,5.728187854407987,0.56,Medium
Female,Product,No,3,6.0,5.728187854407987,0.67,Medium
Male,Product,Yes,2,3.0,5.3,0.5,Medium
Male,Service,Yes,0,1.0,1.8,0.12,Low
Male,Service,Yes,2,5.0,5.728187854407987,0.4,Low
Female,Product,No,1,3.0,5.728187854407987,0.33,Low
Male,Product,Yes,1,3.0,5.8,0.51,Medium
Female,Service,Yes,3,5.0,4.7,0.32,Low
Male,Service,Yes,1,2.0,5.9,0.39,Low
Male,Service,No,3,6.0,6.7,0.59,Medium
Female,Product,Yes,2,4.0,4.0,0.22,Low
Female,Service,No,3,5.0,5.728187854407987,0.68,Medium
Male,Product,No,2,4.0,7.6,0.57,Medium
Male,Service,Yes,1,3.0,6.3,0.47,Medium
Male,Service,Yes,1,3.0,6.7,0.46,Medium
Female,Product,Yes,3,4.481398287238523,7.7,0.61,Medium
Female,Service,No,3,8.0,5.728187854407987,0.91,High
Female,Service,Yes,3,4.481398287238523,5.8,0.4,Low
Male,Service,No,2,4.0,6.6,0.44,Medium
Female,Service,No,2,4.0,7.4,0.6,Medium
Female,Service,No,2,5.0,6.7,0.46,Medium
Female,Service,Yes,2,4.0,5.728187854407987,0.45,Medium
Female,Product,Yes,1,2.0,3.6,0.2,Low
Female,Service,Yes,1,2.0,3.9,0.2,Low
Female,Service,No,0,1.0,3.0,0.19,Low
Male,Service,No,1,3.0,4.7,0.31,Low
Male,Product,No,4,8.0,8.7,0.81,High
Male,Service,Yes,3,5.0,4.4,0.39,Low
Female,Service,Yes,3,6.0,5.8,0.42,Medium
Female,Product,Yes,0,2.0,3.9,0.19,Low
Female,Service,Yes,3,7.0,6.6,0.56,Medium
Female,Service,No,4,7.0,7.3,0.53,Medium
Female,Service,Yes,3,5.0,5.728187854407987,0.5,Medium
Female,Product,Yes,1,3.0,5.4,0.33,Low
Male,Service,No,2,5.0,5.0,0.45,Medium
Female,Service,Yes,2,3.0,6.0,0.36,Low
Female,Service,Yes,3,6.0,7.5,0.59,Medium
Male,Service,Yes,2,3.0,5.728187854407987,0.45200545639508,Medium
Male,Service,No,4,10.0,10.0,0.94,High
Female,Product,Yes,3,6.0,5.728187854407987,0.45200545639508,Medium
Female,Product,No,3,4.481398287238523,7.7,0.61,Medium
Female,Product,Yes,1,3.0,6.0,0.37,Low
Male,Service,No,2,6.0,7.4,0.65,Medium
Female,Service,Yes,2,5.0,6.4,0.49,Medium
Female,Service,No,1,2.0,5.1,0.45200545639508,Medium
Male,Service,Yes,1,3.0,5.6,0.38,Low
Male,Product,No,2,5.0,7.4,0.62,Medium
Female,Product,Yes,3,5.0,6.1,0.39,Low
Female,Product,Yes,2,4.0,3.1,0.15,Low
Male,Service,No,2,5.0,8.0,0.61,Medium
Female,Product,No,1,2.0,4.0,0.26,Low
Female,Service,No,2,2.0,3.6,0.28,Low
Male,Product,Yes,2,5.0,8.7,0.71,High
Male,Product,No,3,4.481398287238523,8.0,0.68,Medium
Female,Service,No,3,5.0,6.8,0.57,Medium
Female,Service,Yes,2,3.0,4.9,0.39,Low
Female,Product,No,3,6.0,7.9,0.61,Medium
Male,Product,No,3,6.0,7.6,0.62,Medium
Female,Service,No,5,9.0,9.2,0.8,High
Male,Service,Yes,4,6.0,6.5,0.63,Medium
Female,Service,No,3,5.0,6.8,0.6,Medium
Female,Product,No,4,8.0,8.7,0.79,High
Male,Service,Yes,2,5.0,6.2,0.39,Low
Female,Service,No,3,5.0,5.8,0.36,Low
Female,Product,No,2,4.0,6.6,0.5,Medium
Male,Product,No,4,7.0,8.2,0.72,High
Female,Service,Yes,2,3.0,4.9,0.34,Low
Female,Service,No,1,2.0,4.1,0.27,Low
Male,Service,No,3,7.0,7.4,0.66,Medium
Female,Product,Yes,0,1.0,5.728187854407987,0.04,Low
Male,Service,Yes,1,2.0,4.4,0.27,Low
Female,Service,No,2,6.0,6.9,0.67,Medium
Female,Product,Yes,1,2.0,5.3,0.38,Low
Female,Service,Yes,2,2.0,4.3,0.28,Low
Male,Product,Yes,0,1.0,0.8,0.05,Low
Female,Service,Yes,2,4.0,2.9,0.22,Low
Female,Service,Yes,1,3.0,5.0,0.39,Low
Male,Service,Yes,1,4.0,6.9,0.52,Medium
Female,Service,No,3,5.0,4.7,0.39,Low
Female,Service,No,1,3.0,2.0,0.11,Low
Female,Service,No,2,4.0,5.4,0.44,Medium
Male,Product,No,2,5.0,6.1,0.5,Medium
Female,Product,Yes,1,4.0,5.1,0.41,Medium
Female,Service,Yes,1,2.0,3.8,0.45200545639508,Medium
